id_tipo_empleado,nombre,correo,telefono,dui,salario
9,Wallache Reading,wreading0@mit.edu,+50365647572,02545831-6,503.42
6,Tatum Frayn,tfrayn1@storify.com,+50374851477,31296321-4,738.51
7,Chiquia Trebilcock,ctrebilcock2@freewebs.com,+50375515372,63633188-0,592.39
9,Aymer Sprott,asprott3@symantec.com,+50368780948,57489109-1,419.66
3,Wenda Mumby,wmumby4@businessweek.com,+50374762731,28147458-7,1108.05
7,Clemente Godfray,cgodfray5@examiner.com,+50360651905,32381364-0,854.42
10,Morton Tipens,mtipens6@wordpress.com,+50322413291,48897105-9,920.2
10,Ellerey Tancock,etancock7@amazonaws.com,+50362761491,97301379-8,410.47
9,Tadeo Cammocke,tcammocke8@mapy.cz,+50329605809,52780275-3,1277.52
1,Lon Lauderdale,llauderdale9@hhs.gov,+50324218987,16333662-4,1105.05
6,Mario Rasor,mrasora@twitpic.com,+50325672183,09523307-6,508.38
10,Shawn McDuffie,smcduffieb@cbsnews.com,+50324138094,43522964-1,437.23
3,Alphard Drury,adruryc@godaddy.com,+50370131513,36632606-5,1231.86
6,Tonye Musterd,tmusterdd@mediafire.com,+50324956959,65056394-1,675.88
10,Ulberto Creelman,ucreelmane@pcworld.com,+50377300291,76972455-3,545.78
4,Baxie Stittle,bstittlef@bloglines.com,+50366628060,80469740-1,1183.94
10,Barnebas Gossop,bgossopg@upenn.edu,+50377325865,14008593-1,596.63
3,Karel Cozby,kcozbyh@indiegogo.com,+50324461427,76453521-4,967.82
1,Suellen Arnow,sarnowi@yandex.ru,+50364711833,14251375-5,1395.06
2,Dulcie Argue,darguej@forbes.com,+50377737994,50417360-3,1278.05
3,Nelly Mannooch,nmannoochk@comsenz.com,+50374095234,12135110-7,558.04
1,Melisa McPhee,mmcpheel@cargocollective.com,+50371595782,82806062-6,687.36
3,Oralle Minney,ominneym@europa.eu,+50329620644,43869355-2,1024.21
1,Ida Folbige,ifolbigen@sogou.com,+50371346961,84494237-9,747.74
4,Des Bonass,dbonasso@imageshack.us,+50324784784,14151032-7,1045.33
3,Marissa Faye,mfayep@huffingtonpost.com,+50360651335,54098485-7,649.09
3,Tris Maciaszczyk,tmaciaszczykq@example.com,+50327877546,71262277-3,860.71
5,Gabbie Gue,gguer@phpbb.com,+50368294073,55934429-9,537.46
2,Killian Dael,kdaels@youtube.com,+50321274338,15453838-0,1009.64
3,Deny Farmar,dfarmart@va.gov,+50364104830,11245536-9,646.91
8,Adlai Linstead,alinsteadu@upenn.edu,+50379805776,68239717-8,385.03
5,Donni Capin,dcapinv@barnesandnoble.com,+50370553764,78322351-3,1361.36
8,Lockwood Bartolijn,lbartolijnw@youtu.be,+50368743716,49237797-2,596.01
4,Cesar Danielovitch,cdanielovitchx@time.com,+50324763490,45476026-4,1146.64
10,Vasily Brookwood,vbrookwoody@umich.edu,+50326786352,16379522-9,554.81
1,Modesty Wanell,mwanellz@google.nl,+50324219571,35523137-1,869.39
7,Julissa Planke,jplanke10@imageshack.us,+50370958691,21523521-5,948.29
5,Mandie Hartright,mhartright11@dagondesign.com,+50374375891,94111866-3,1440.44
10,Ardelis Van Salzberger,avan12@phpbb.com,+50374621161,72791719-6,923.8
3,Mattie De Cristofalo,mde13@cnn.com,+50323539295,70056708-8,677.52
2,Gideon Crummie,gcrummie14@rambler.ru,+50373494941,44775931-4,818.09
3,Atalanta Harry,aharry15@epa.gov,+50363795346,56434040-9,587.69
5,Crichton Kilpin,ckilpin16@rambler.ru,+50326052327,79656439-6,882.79
3,Hillel Gillyett,hgillyett17@time.com,+50378599948,27349368-2,1361.26
1,Jacobo McGarrity,jmcgarrity18@furl.net,+50377913161,42089459-1,949.05
2,Mitchel Sivil,msivil19@nifty.com,+50320898126,51683007-0,1025.84
6,Mikey Melbert,mmelbert1a@google.co.uk,+50328827350,85422300-3,703.01
1,Artemis Willoway,awilloway1b@eepurl.com,+50360353077,27570335-4,927.51
8,Cassandra Zealander,czealander1c@reuters.com,+50366371765,27058375-2,1071.49
9,Danice Maslen,dmaslen1d@dedecms.com,+50326244920,69303800-2,1018.88
1,Gayler Leeb,gleeb1e@sogou.com,+50364133816,70222918-9,1451.38
1,Nerti Beese,nbeese1f@pen.io,+50375319620,15650369-9,475.34
8,Byram Latty,blatty1g@businessinsider.com,+50329702353,62945267-9,1438.55
7,Freddie Latimer,flatimer1h@exblog.jp,+50325282582,14900378-1,1193.41
8,Ondrea Griffitt,ogriffitt1i@scribd.com,+50362219094,96913208-5,963.4
